[2026-01-03 18:01:36] IP: 192.168.0.105 | Status: 🔒 AUTH FAILED | Path: /favicon.ico
[2026-01-03 18:01:36] IP: 192.168.0.105 | Status: 🔒 AUTH FAILED | Path: /favicon.ico
[2026-01-03 18:01:37] IP: 192.168.0.105 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-03 18:01:44] IP: 192.168.0.105 | Status: ✅ OK | Path: /
[2026-01-03 18:01:45] IP: 192.168.0.105 | Status: 🔒 AUTH FAILED | Path: /favicon.ico
[2026-01-03 18:01:45] IP: 192.168.0.105 | Status: 🔒 AUTH FAILED | Path: /favicon.ico
[2026-01-03 18:01:57] IP: 192.168.0.105 | Status: ✅ OK | Path: /%5BRAPORT1%5D%20-%20__Afra_Dwi_Athalla%20-%201.pdf
[2026-01-03 18:01:58] IP: 192.168.0.105 | Status: 🔒 AUTH FAILED | Path: /favicon.ico
[2026-01-03 18:01:58] IP: 192.168.0.105 | Status: 🔒 AUTH FAILED | Path: /favicon.ico
[2026-01-03 18:02:01] IP: 192.168.0.105 | Status: 🔒 AUTH FAILED | Path: /favicon.ico
[2026-01-03 18:02:01] IP: 192.168.0.105 | Status: 🔒 AUTH FAILED | Path: /favicon.ico
[2026-01-03 18:02:13] IP: 192.168.0.105 | Status: ✅ OK | Path: /%5BRAPORT1%5D%20-%20__Ammar_Maulana_Habibi%20-%203.pdf
[2026-01-03 18:02:13] IP: 192.168.0.105 | Status: ✅ OK | Path: /%5BRAPORT1%5D%20-%20__Ammar_Maulana_Habibi%20-%203.pdf
[2026-01-03 18:02:14] IP: 192.168.0.105 | Status: 🔒 AUTH FAILED | Path: /favicon.ico
[2026-01-03 18:02:14] IP: 192.168.0.105 | Status: 🔒 AUTH FAILED | Path: /favicon.ico
[2026-01-03 18:02:17] IP: 192.168.0.105 | Status: 🔒 AUTH FAILED | Path: /favicon.ico
[2026-01-03 18:02:17] IP: 192.168.0.105 | Status: 🔒 AUTH FAILED | Path: /favicon.ico
[2026-01-03 18:02:36] IP: 192.168.0.105 | Status: 🚫 BLOCKED (300s) | Path: -
[2026-01-03 18:02:36] IP: 192.168.0.105 | Status: 🔒 AUTH FAILED | Path: /%5BRAPORT1%5D%20-%20__Afra_Dwi_Athalla%20-%201.pdf
[2026-01-03 18:02:36] IP: 192.168.0.105 | Status: 🚫 BLOCKED | Path: /%5BRAPORT1%5D%20-%20__Afra_Dwi_Athalla%20-%201.pdf
[2026-01-03 18:02:36] IP: 192.168.0.105 | Status: 🚫 BLOCKED | Path: /favicon.ico
[2026-01-03 18:02:36] IP: 192.168.0.105 | Status: 🚫 BLOCKED | Path: /%5BRAPORT1%5D%20-%20__Afra_Dwi_Athalla%20-%201.pdf
[2026-01-03 18:03:18] IP: 192.168.0.105 | Status: 🚫 BLOCKED | Path: /
[2026-01-03 18:03:19] IP: 192.168.0.105 | Status: 🚫 BLOCKED | Path: /favicon.ico
[2026-01-03 18:03:21] IP: 192.168.0.105 | Status: 🚫 BLOCKED | Path: /
[2026-01-03 18:03:21] IP: 192.168.0.105 | Status: 🚫 BLOCKED | Path: /favicon.ico
[2026-01-03 18:03:22] IP: 192.168.0.105 | Status: 🚫 BLOCKED | Path: /
[2026-01-03 18:03:22] IP: 192.168.0.105 | Status: 🚫 BLOCKED | Path: /favicon.ico
[2026-01-03 18:08:51] IP: 127.0.0.1 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-03 18:08:51] IP: 127.0.0.1 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-03 18:08:51] IP: 127.0.0.1 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-03 18:08:51] IP: 127.0.0.1 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-03 18:08:51] IP: 127.0.0.1 | Status: 🚫 BLOCKED (300s) | Path: -
[2026-01-03 18:08:51] IP: 127.0.0.1 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-03 18:08:51] IP: 127.0.0.1 | Status: 🚫 BLOCKED | Path: /
[2026-01-03 18:08:51] IP: 127.0.0.1 | Status: ✅ OK | Path: /
[2026-01-03 18:13:14] IP: 127.0.0.1 | Status: ✅ OK | Path: /
[2026-01-03 18:23:04] IP: 192.168.0.105 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-03 18:23:10] IP: 192.168.0.105 | Status: ✅ OK | Path: /
[2026-01-03 18:23:19] IP: 192.168.0.105 | Status: ✅ OK | Path: ⬆️ Uploaded: 820fe741-acfb-4321-a12c-272e5dda72f0.jpeg
[2026-01-03 18:23:19] IP: 192.168.0.105 | Status: ✅ OK | Path: /
[2026-01-03 18:23:19] IP: 192.168.0.105 | Status: ✅ OK | Path: /
[2026-01-03 18:39:55] IP: 192.168.0.103 | Status: ✅ OK | Path: /
[2026-01-03 18:39:56] IP: 192.168.0.103 | Status: ✅ OK | Path: /favicon.ico
[2026-01-03 18:40:14] IP: 192.168.0.103 | Status: ✅ OK | Path: 🗑️ DELETE: /820fe741-acfb-4321-a12c-272e5dda72f0.jpeg
[2026-01-03 18:40:14] IP: 192.168.0.103 | Status: ✅ OK | Path: /
[2026-01-03 18:40:14] IP: 192.168.0.103 | Status: ✅ OK | Path: /
[2026-01-03 19:01:03] IP: 192.168.0.105 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-03 19:01:14] IP: 192.168.0.105 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:01:39] IP: 192.168.0.105 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:01:39] IP: 192.168.0.105 | Status: ⬇️ DOWNLOAD | Path: /005.%20Permohonan%20Izin%20Mengikuti%20Tes%20Kemampuan%20Akademik%20%28TKA%29.pdf
[2026-01-03 19:02:09] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:02:11] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:19:22] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:19:29] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:19:30] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:19:34] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:19:36] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:19:39] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:19:41] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:21:37] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:22:22] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:22:31] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:22:32] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:23:01] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:23:08] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:23:08] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:25:59] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:26:09] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:28:49] IP: 192.168.0.103 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-03 19:28:56] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:29:03] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /12.%20Muhammad%20Regno%20Schefendi.png
[2026-01-03 19:29:08] IP: 192.168.0.103 | Status: ⬇️ DOWNLOAD | Path: /11%20DKV%20-%20ABSENSI%20SOLAT%20DUHA%20SISWA%20-%20Google%20Spreadsheet.pdf
[2026-01-03 19:29:37] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:30:00] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:30:26] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:30:26] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:30:28] IP: 192.168.0.103 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:31:54] IP: 192.168.0.105 | Status: 🔒 AUTH FAILED | Path: /
[2026-01-03 19:32:04] IP: 192.168.0.105 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:32:16] IP: 192.168.0.105 | Status: 🚪 LOGOUT | Path: Action
[2026-01-03 19:32:19] IP: 192.168.0.105 | Status: 🚪 LOGOUT | Path: Action
[2026-01-03 19:32:20] IP: 192.168.0.105 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:32:22] IP: 192.168.0.105 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:32:26] IP: 192.168.0.105 | Status: 📂 BROWSE | Path: /
[2026-01-03 19:34:04] IP: 192.168.0.105 | Status: 📂 BROWSE | Path: /
